location,ds,yhat,yhat_lower,yhat_upper
India,2020-07-06,20414.39744044529,-20811.10818694835,62463.15133512766
India,2020-07-07,20977.287236217737,-16368.947915131641,61404.24503030856
India,2020-07-08,21531.584367169697,-15599.500054941984,59160.015687283994
India,2020-07-09,22083.700177458246,-16659.578628184314,62324.818446050005
India,2020-07-10,22693.77829339387,-19385.97156960082,62434.35415921667
India,2020-07-11,23338.326485649737,-16914.573996808496,60857.56706887104
India,2020-07-12,24100.117619801626,-17931.0960768696,65574.30833634194
India,2020-07-13,24785.90721043725,-11896.652041384728,62754.36732239769
India,2020-07-14,25571.04832003124,-16011.503304099477,65906.6893812063
India,2020-07-15,26374.740951697924,-12413.161128983724,67370.31996287277
India,2020-07-16,27196.789848840042,-12466.309099075572,69195.58768479622
India,2020-07-17,28090.18456241791,-10485.146696617736,66213.11829020326
India,2020-07-18,29023.95520735534,-10858.214680205616,69422.5347884882
India,2020-07-19,30073.30116541628,-10764.222148485822,69770.37705612663
India,2020-07-20,31037.53364606578,-10695.56253118459,71291.89636405814
India,2020-07-21,32084.906452781164,-5900.453268904164,72160.55161495517
India,2020-07-22,33128.06610079999,-4946.126480716688,72175.59502082362
India,2020-07-23,34160.989752320515,-6381.302120220234,72215.94752535973
India,2020-07-24,35231.720086613335,-2531.83370411586,74264.34653715778
India,2020-07-25,36305.34661127504,-421.7276092245518,78412.95250722292
India,2020-07-26,37454.22768352371,-1463.665754064428,77740.44415455149
India,2020-07-27,38475.99216094155,-2623.930681535433,78951.41838287121
India,2020-07-28,39538.39407357912,-212.9883291446484,79671.56985289423
India,2020-07-29,40554.75155266122,2093.5429303780006,79247.12135161442
India,2020-07-30,41520.8395943243,191.36434715991572,81317.93986332335
India,2020-07-31,42487.547859515995,2490.748305082763,83562.8676723511
India,2020-08-01,43423.75599181145,3074.858363445657,82054.0010789733
India,2020-08-02,44406.42448508122,4114.378313963957,85259.37053518649
India,2020-08-03,45238.444444918765,5716.295368537198,88872.05448387597
India,2020-08-04,46093.32457848062,5243.834444996911,90335.42999904261
India,2020-08-05,46890.451952427575,4482.64215371862,87039.05280837542
India,2020-08-06,47631.80159938035,8085.9772078096485,85875.95253060841
India,2020-08-07,48374.411705818195,7666.103636733412,88165.00422986783
India,2020-08-08,49091.67887715788,8854.030178378722,88310.71721956653
India,2020-08-09,49867.493526107166,10180.309426182777,92296.90349671288
India,2020-08-10,50509.729565528105,9933.341748055298,90404.77264629777
India,2020-08-11,51196.204653328,9918.26491927159,91836.50346810244
India,2020-08-12,51849.83402239441,10900.439587733883,92662.45993973111
India,2020-08-13,52475.25899078371,14855.557750948858,96127.33518423393
India,2020-08-14,53131.26868072819,11862.838736586427,93171.28983278654
India,2020-08-15,53793.47374594063,14447.124721883158,92990.08914752868
India,2020-08-16,54544.235278058564,15266.079111488392,97118.50275082076
India,2020-08-17,55190.39606640784,12876.970868170854,95749.89250385312
India,2020-08-18,55907.894979122866,16037.396067598247,98720.56454547808
India,2020-08-19,56617.00199786912,17534.72159324904,98897.51097785978
India,2020-08-20,57319.04853893818,18534.444104615748,96625.87476945552
India,2020-08-21,58068.967950237246,19018.67546223024,97718.21659306745
India,2020-08-22,58838.100909500805,18578.95166490725,95673.08620393276
India,2020-08-23,59704.264520499506,19255.87622387223,98719.00250793953
India,2020-08-24,60469.627749303334,17935.916944993314,103083.6043045186
India,2020-08-25,61305.46942276564,19642.820988353593,100743.1226427985
India,2020-08-26,62127.5519042137,21104.225527845767,105604.19414073922
India,2020-08-27,62932.980925915675,18884.509926564395,102726.02213271387
India,2020-08-28,63772.86270368822,24950.553560669454,102733.38542151502
India,2020-08-29,64615.209794469716,23340.63783745421,105998.90187171324
India,2020-08-30,65535.09182132484,26992.66831735351,106957.17354083642
India,2020-08-31,66332.57170029353,26919.923212628946,105788.1986697486
India,2020-09-01,67177.50229846875,26652.347580547546,112061.80360498461
India,2020-09-02,67984.91608640975,28293.848887981956,111435.6263630483
India,2020-09-03,68751.87845602045,26650.834229669374,107916.02478257552
India,2020-09-04,69530.11674255079,29365.74572736337,113163.82875659557
India,2020-09-05,70288.87800215068,29654.470944901528,108585.10460977531
India,2020-09-06,71105.01387167502,30975.834816216622,112076.58210079971
India,2020-09-07,71780.83587508362,31899.653987720303,114154.52643554806
India,2020-09-08,72488.81926291708,31281.99601963707,114749.0681846576
India,2020-09-09,73146.89142038258,31859.881506059333,112954.94229465228
India,2020-09-10,73755.1791816761,32536.938682392276,113173.35728382973
India,2020-09-11,74368.53082458136,31990.26669939705,115170.88675936642
India,2020-09-12,74959.26947508639,36169.87826739093,117147.20918642297
India,2020-09-13,75607.17974822452,36412.9736188798,117005.8770285238
India,2020-09-14,76117.27419549227,39686.75714499056,114852.46567511601
India,2020-09-15,76664.42045507746,36061.96838867261,115810.84318241918
India,2020-09-16,77168.56746545836,35508.266313691645,115194.52070760026
India,2020-09-17,77631.44684922879,38062.59520667575,119347.33951979983
India,2020-09-18,78109.06640329839,40238.912214517666,116508.14896980677
India,2020-09-19,78574.4529496583,40175.485950073366,120706.1757811592
India,2020-09-20,79107.64625132053,41938.10545507875,119361.91077073409
India,2020-09-21,79513.48980953869,38572.25551386826,120542.57339602432
India,2020-09-22,79966.29808663367,39702.333775859064,117863.26424051194
India,2020-09-23,80385.13662016844,40349.102129362094,120906.02528741104
India,2020-09-24,80770.588770693,41098.70100146216,120142.75372663491
India,2020-09-25,81177.32329312307,40733.21796631111,119117.91369715943
India,2020-09-26,81576.91695938149,43312.029633738464,122496.2179326176
India,2020-09-27,82047.93073963498,45105.46672813123,119831.84380886593
India,2020-09-28,82393.78210542178,44057.847405545785,120929.05814226667
India,2020-09-29,82787.48980685194,43317.186962970634,122746.09766682262
India,2020-09-30,83147.02457205986,42110.44549754613,121601.60254433978
India,2020-10-01,82318.95158103685,42112.42140360662,122568.77647259453
India,2020-10-02,81510.602316955,41131.61831825608,122019.49088041022
India,2020-10-03,80693.37658700951,37998.04079929406,122461.12137890772
India,2020-10-04,79946.02339534371,39482.94084259807,121368.18745991877
India,2020-10-05,79072.51667404216,40115.702783582754,120587.77461535877
India,2020-10-06,78246.78719829512,39097.81867675196,116654.71191265024
India,2020-10-07,77388.04456766866,35730.51680522829,116873.787047456
India,2020-10-08,76497.5612933143,37645.381747160194,112602.67176457343
India,2020-10-09,75631.23242148421,38749.67590540837,117234.22710089834
India,2020-10-10,74762.36513245637,33671.558550226284,118150.86306232603
India,2020-10-11,73971.69799807708,32635.259879700672,111364.51465322993
India,2020-10-12,73065.19456116759,32057.906084439306,113681.43181215029
India,2020-10-13,72218.69053901962,33201.73259685327,113958.16552142617
India,2020-10-14,71353.13179503786,32686.56227473262,108896.5255983755
India,2020-10-15,70471.27839501869,29424.444861164466,112285.09831567259
India,2020-10-16,69630.19135118682,30334.530096950533,110018.42179819365
India,2020-10-17,68803.95944526188,28142.177701123528,106916.84422058781
India,2020-10-18,68073.66843601306,28759.933405426356,106548.47523721438
India,2020-10-19,67245.15950683758,27786.78588047233,107275.12851052715
India,2020-10-20,66493.65793269238,27384.60908203103,107402.3199285895
India,2020-10-21,65739.0102032761,25046.80641456725,107314.10482658673
India,2020-10-22,64982.40537828767,25408.982790283,104002.04840513662
India,2020-10-23,64278.89707615038,22000.168772411584,103207.1241592463
India,2020-10-24,63600.18261911264,24170.611678709338,104297.08989398893
India,2020-10-25,63024.64012364288,21127.3303758182,102334.79557441466
India,2020-10-26,62355.16826767034,21765.650443410643,102132.63857489197
India,2020-10-27,61763.90704568804,21312.565578145935,99184.9861694022
India,2020-10-28,61167.57461888387,22104.2893318001,100901.38728866716
